Frequency (Hz)	Level (dB)
817.588806	-89.039772
818.261719	-88.330673
818.934631	-91.684525
819.607544	-103.045532
820.280457	-94.672821
820.953369	-91.138374
821.626282	-91.890846
822.299194	-95.909569
822.972107	-101.513351
823.645020	-104.049133
824.317932	-102.037651
824.990845	-96.329704
825.663757	-94.668198
826.336670	-90.532837
827.009583	-94.085091
827.682495	-91.309433
828.355408	-87.798569
829.028320	-89.729019
829.701233	-93.112793
830.374146	-97.484566
831.047058	-105.792114
831.719971	-100.580658
832.392883	-94.597267
833.065796	-95.332191
833.738708	-98.796967
834.411621	-93.717018
835.084534	-91.377754
835.757446	-92.886665
836.430359	-93.370316
837.103271	-95.197906
837.776184	-96.033417
838.449097	-93.355270
839.122009	-104.615776
839.794922	-98.350929
840.467834	-90.825859
841.140747	-90.060539
841.813660	-89.075783
842.486572	-93.798393
843.159485	-93.901230
843.832397	-90.725189
844.505310	-93.628723
845.178223	-98.520088
845.851135	-94.979568
846.524048	-94.459259
847.196960	-90.547630
847.869873	-99.546303
848.542786	-87.553101
849.215698	-87.381577
849.888611	-86.787231
